!!SBtab TableType="rxnconContingencyList"TableName="ContingencyList" Document="files/S2.6_PheromoneResponse"
!UID:Contingency,!Target,!Contingency,!Modifier,!Reference:Identifiers:pubmed,!Quality,!Comment,!InternalComplexID
1,<AFactorSte3>,AND,Mfa12@1--Ste3@2,,,,<AFactorSte3>-pr20-pr9
2,<AFactorSte3Asg7>,AND,<AFactorSte3>#Mfa12@1=Mfa12@1#Ste3@2=Ste3@2,,,,<AFactorSte3>-<AFactorSte3Asg7>-pr20-pr548-pr9
3,<AFactorSte3Asg7>,AND,Asg7@3,,,,<AFactorSte3>-<AFactorSte3Asg7>-pr20-pr548-pr9
4,<AlphaFactorSte2>,AND,<Ste2-Dimer>#Ste2@2=Ste2@1#Ste2@3=Ste2@2,,,,<AlphaFactorSte2>-pr10-pr19
5,<AlphaFactorSte2>,AND,MfAlpha12@1,,,,<AlphaFactorSte2>-pr10-pr19
6,<AlphaFactorSte2Sst2>,AND,<AlphaFactorSte2>#MfAlpha12@1=MfAlpha12@1#Ste2@2=Ste2@2,,,,<AlphaFactorSte2>-<AlphaFactorSte2Sst2>-pr10-pr19-pr25
7,<AlphaFactorSte2Sst2>,AND,Sst2@4,,,,<AlphaFactorSte2>-<AlphaFactorSte2Sst2>-pr10-pr19-pr25
8,<Bcy1Tpk1>,AND,Bcy1@1--Tpk1@2,,,,<Bcy1Tpk1>-pr375-pr411
9,<Bcy1Tpk1>,AND,Bcy1@1--Tpk3@2,,,,<Bcy1Tpk1>-pr375-pr412
10,<Bcy1Tpk2>,AND,Bcy1@1--Tpk2@2,,,,<Bcy1Tpk2>-pr375-pr399
11,<Bem1GDPCdc42>,AND,<GDPCdc42>#Cdc42@2=Cdc42@1#GDP@3=GDP@2,,,,<Bem1GDPCdc42>-<GDPCdc42>-GDP-pr16-pr30
12,<Bem1GDPCdc42>,AND,Bem1@1,,,,<Bem1GDPCdc42>-<GDPCdc42>-GDP-pr16-pr30
13,<Bem1GDPCdc42Cdc24Far1Ste4Ste18>,AND,<Bem1GDPCdc42>#Bem1@1=Bem1@1#Cdc42@2=Cdc42@1#GDP@3=GDP@2,,,,<Bem1GDPCdc42>-<Bem1GDPCdc42Cdc24Far1Ste4Ste18>-<Cdc24Far1>-<Cdc24Far1Ste4Ste18>-<GDPCdc42>-<Ste4Ste18>-GDP-pr14-pr16-pr2-pr30-pr5-pr6
14,<Bem1GDPCdc42Cdc24Far1Ste4Ste18>,AND,<Cdc24Far1Ste4Ste18>#Cdc24@4=Cdc24@1#Far1@5=Far1@2#Ste18@6=Ste18@1#Ste4@7=Ste4@2,,,,<Bem1GDPCdc42>-<Bem1GDPCdc42Cdc24Far1Ste4Ste18>-<Cdc24Far1>-<Cdc24Far1Ste4Ste18>-<GDPCdc42>-<Ste4Ste18>-GDP-pr14-pr16-pr2-pr30-pr5-pr6
15,<Bem1GDPCdc42Cdc24GTPRsr1>,AND,<Cdc24GTPRsr1>#Cdc24@2=Cdc24@1#GDP@3=GDP@1#Rsr1@4=Rsr1@2,,,,<Bem1GDPCdc42Cdc24GTPRsr1>-<Cdc24GTPRsr1>-<GDPCdc42>-<GDPRsr1>-GDP-GDP-pr16-pr2-pr30-pr33
16,<Bem1GDPCdc42Cdc24GTPRsr1>,AND,<GDPCdc42>#Cdc42@5=Cdc42@1#GDP@6=GDP@2,,,,<Bem1GDPCdc42Cdc24GTPRsr1>-<Cdc24GTPRsr1>-<GDPCdc42>-<GDPRsr1>-GDP-GDP-pr16-pr2-pr30-pr33
17,<Bem1GDPCdc42Cdc24GTPRsr1>,AND,Bem1@1,,,,<Bem1GDPCdc42Cdc24GTPRsr1>-<Cdc24GTPRsr1>-<GDPCdc42>-<GDPRsr1>-GDP-GDP-pr16-pr2-pr30-pr33
18,<Bem1GTPCdc42>,AND,<GTPCdc42>#Cdc42@2=Cdc42@1#GDP@3=GDP@2,,,,<Bem1GTPCdc42>-<GTPCdc42>-GDP-pr16-pr30
19,<Bem1GTPCdc42>,AND,<GTPCdc42>#Cdc42@2=Cdc42@1#GTP@3=GTP@2,,,,<Bem1GTPCdc42>-<GTPCdc42>-GTP-pr16-pr30
20,<Bem1GTPCdc42>,AND,Bem1@1,,,,<Bem1GTPCdc42>-<GTPCdc42>-GDP-pr16-pr30
21,<Bem1GTPCdc42>,AND,Bem1@1,,,,<Bem1GTPCdc42>-<GTPCdc42>-GTP-pr16-pr30
