!!SBtab TableType='rxnconContingencyList' TableName='ContingencyList',,,,,,
!UID:Contingency,!Target,!Contingency,!Modifier,!Reference:Identifiers:pubmed,!Quality,!Comment
1,<ScfCdc4Complex>,AND,<ScfComplex>#Cdc34@2=Cdc34@1#Cdc53@3=Cdc53@2#Hrt1@4=Hrt1@3#Skp1@5=Skp1@4,,,
2,<ScfCdc4Complex>,AND,Cdc4@1--Skp1@5,,,
3,<ScfComplex>,AND,Cdc34@1--Hrt1@3,,,
4,<ScfComplex>,AND,Cdc53@2--Skp1@4,,,
5,<ScfComplex>,AND,Cdc53@2--Hrt1@3,,,
6,<AFactorSte3>,AND,Mfa12@1--Ste3@2,,,
7,<AlphaFactorSte2>,AND,<Ste2-Dimer>#Ste2@2=Ste2@1#Ste2@3=Ste2@2,,,
8,<Ste2-Dimer>,AND,Ste2@1--Ste2@2,,,
9,<AlphaFactorSte2>,AND,MfAlpha12@1--Ste2@2,,,
10,<AlphaFactorSte2Sst2>,AND,<AlphaFactorSte2>#MfAlpha12@1=MfAlpha12@1#Ste2@2=Ste2@2,,,
11,<AlphaFactorSte2Sst2>,AND,Sst2@4--Ste2@2,,,
12,<Ste50Ste11>,AND,<Ste11-Dimer>#Ste11@1=Ste11@1#Ste11@2=Ste11@2,,,
13,<Ste11-Dimer>,AND,Ste11@1--Ste11@2,,,
14,<Ste50Ste11>,AND,Ste11@1--Ste50@2,,,
15,<GDPGpa1Ste4Ste18>,AND,<Ste4Ste18>#Ste18@3=Ste18@1#Ste4@4=Ste4@2,,,
16,<GDPGpa1Ste4Ste18>,AND,Gpa1@2--GDP@1,,,
17,<GDPGpa1Ste4Ste18>,AND,Gpa1@2--Ste4@4,,,
18,<GTPGpa1>,AND,Gpa1@2--GTP@1,,,
19,<GDPGpa1>,AND,GDP@1--Gpa1@2,,,
20,<Cdc24Far1Ste4Ste18>,AND,<Ste4Ste18>#Ste18@3=Ste18@1#Ste4@4=Ste4@2,,,
21,<Cdc24Far1Ste4Ste18>,AND,<Cdc24Far1>#Cdc24@1=Cdc24@1#Far1@2=Far1@2,,,
22,<Cdc24Far1Ste4Ste18>,AND,Far1@2--Ste4@4,,,
23,<Bem1GTPCdc42Cdc24Far1Ste4Ste18Ste20>,AND,<Bem1GTPCdc42>#Bem1@1=Bem1@1#Cdc42@2=Cdc42@1#GTP@3=GTP@2,,,
24,<Bem1GTPCdc42Cdc24Far1Ste4Ste18Ste20>,AND,<Cdc24Far1Ste4Ste18>#Cdc24@4=Cdc24@1#Far1@5=Far1@2#Ste18@6=Ste18@1#Ste4@7=Ste4@2,,,
25,<Bem1GTPCdc42Cdc24Far1Ste4Ste18Ste20>,AND,Cdc42@2--Ste20@8,,,
26,<Bem1GTPCdc42Cdc24Far1Ste4Ste18Ste20>,AND,Bem1@1--Cdc24@4,,,
27,<Bem1GTPCdc42>,AND,<GTPCdc42>#Cdc42@2=Cdc42@1#GTP@3=GTP@2,,,
28,<Bem1GTPCdc42>,AND,Bem1@1--Cdc42@2,,,
29,<Cdc24Far1>,AND,Cdc24@1--Far1@2,,,
30,<GTPRsr1>,AND,GTP@1--Rsr1@2,,,
31,<Cdc24GTPRsr1>,AND,<GTPRsr1>#GTP@2=GTP@1#Rsr1@3=Rsr1@2,,,
32,<Cdc24GTPRsr1>,AND,Cdc24@1--Rsr1@3,,,
33,<Bem1GTPCdc42Cdc24GTPRsr1>,AND,Bem1@1--Cdc42@5,,,
34,<Bem1GTPCdc42Cdc24GTPRsr1>,AND,Cdc42@5--Rsr1@4,,,
35,<Bem1GTPCdc42GTPRsr1>,AND,<GTPCdc42>#Cdc42@2=Cdc42@1#GTP@3=GTP@2,,,
36,<Bem1GTPCdc42GTPRsr1>,AND,<GTPRsr1>#GTP@4=GTP@1#Rsr1@5=Rsr1@2,,,
37,<Bem1GTPCdc42GTPRsr1>,AND,Bem1@1--Cdc42@5,,,
38,<Bem1GTPCdc42GTPRsr1>,AND,Cdc42@5--Rsr1@4,,,
39,<Dig1Dig2Ste12>,AND,<Ste12-Dimer>#Ste12@3=Ste12@1#Ste12@4=Ste12@2,,,
40,<Ste12-Dimer>,AND,Ste12@1--Ste12@2,,,
41,<Dig1Dig2Ste12>,AND,Dig1@1--Ste12@3,,,
42,<Dig1Dig2Ste12>,AND,Dig2@2--Ste12@4,,,
43,<Ste12Tec1>,AND,Ste12@1--Tec1@2,,,
44,<Ste12Tec1>,AND,<Ste12-Dimer>#Ste12@1=Ste12@1#Ste12@2=Ste12@2,,,
45,<Dig1Ste12Tec1>,AND,Dig1@1--Ste12@2,,,
46,<Dig1Ste12Tec1>,AND,Ste12@3--Tec1@4,,,
47,<Dig1Ste12Tec1>,AND,<Ste12-Dimer>#Ste12@2=Ste12@1#Ste12@3=Ste12@2,,,
48,<Mcm1Ste12>,AND,Mcm1@1--Ste12@2,,,
49,<Mcm1Ste12>,AND,<Ste12-Dimer>#Ste12@2=Ste12@1#Ste12@3=Ste12@2,,,
50,<Cyc8Tup1Sfl1>,AND,<Sfl1-Dimer>#Sfl1@3=Sfl1@1#Sfl1@4=Sfl1@2,,,
51,<Sfl1-Dimer>,AND,Sfl1@1--Sfl1@2,,,
52,<Cyc8Tup1Sfl1>,AND,<Cyc8Tup1>#Cyc8@1=Cyc8@1#Tup1@2=Tup1@2,,,
53,<Cyc8Tup1Sfl1>,AND,Cyc8@1--Sfl1@3,,,
54,<Cdc28Cln2>,AND,Cdc28@1--Cln2@2,,,
55,<Cdc28Cln2Far1>,AND,<Cdc28Cln2>#Cdc28@1=Cdc28@1#Cln2@2=Cln2@2,,,
56,<Cdc28Cln2Far1>,AND,Cdc28@1--Far1@3,,,
57,<Ste5Ste50Ste11Ste7Kss1>,AND,<Ste5-Dimer>#Ste5@2=Ste5@1#Ste5@3=Ste5@2,,,
58,<Ste5-Dimer>,AND,Ste5@1--Ste5@2,,,
59,<Ste5Ste50Ste11Ste7Kss1>,AND,<Ste50Ste11>#Ste11@4=Ste11@1#Ste50@6=Ste50@3,,,
60,<Ste5Ste50Ste11Ste7Kss1>,AND,Kss1@1--Ste5@2,,,
61,<Ste5Ste50Ste11Ste7Kss1>,AND,Ste5@2--Ste7@7,,,
62,<Ste5Ste50Ste11Ste7Kss1>,AND,Ste5@3--Ste11@4,,,
63,<Mpt5Sst2>,AND,Mpt5@1--Sst2@2,,,
64,<Ste5Ste50Ste11Ste7Fus3>,AND,<Ste50Ste11>#Ste11@4=Ste11@1#Ste50@6=Ste50@3,,,
65,<Ste5Ste50Ste11Ste7Fus3>,AND,Ste5@2--Ste7@7,,,
66,<Ste5Ste50Ste11Ste7Fus3>,AND,Fus3@1--Ste5@3,,,
