!!SBtab TableType='rxnconReactionList' TableName='ReactionList'
!ID	!UID:Reaction	!ComponentA:Name	!ComponentA:Domain	!ComponentA:Residue	!Reaction	!ComponentB:Name	!ComponentB:Domain	!ComponentB:Residue	!Quality	!Literature:Identifiers:pubmed	!Comment
1	Mcm1_TRSC_Ste6Gene	Mcm1			TRSC	Ste6Gene					
2	[Fus3|Ste5|Ste5|Ste11|Ste11|Ste50|Ste7]_P+_Ste7_[(S359)]	[Fus3|Ste5|Ste5|Ste11|Ste11|Ste50|Ste7]			P+	Ste7		S359			
3	Ste12_[Ste12]_ppi+_Ste12_[Ste12]	Ste12	Ste12		ppi+	Ste12	Ste12				
4	GDP_[Gpa1]_i+_Gpa1_[GDP]	GDP	Gpa1		i+	Gpa1	GDP				
5	Ste5_[Ste5]_ppi-_Ste5_[Ste5]	Ste5	Ste5		ppi-	Ste5	Ste5				
6	Cdc28_[Cln1]_ppi+_Cln1_[Cdc28]	Cdc28	Cln1		ppi+	Cln1	Cdc28				
7	Tpk3_P+_Bcy1_[(S145)]	Tpk3			P+	Bcy1		S145			
8	[Bem1|Cdc42|GTP|Cdc24|Far1|Ste18|Ste4|Ste20]_P+_Ste11_[(T286)]	[Bem1|Cdc42|GTP|Cdc24|Far1|Ste18|Ste4|Ste20]			P+	Ste11		T286			
9	Kss1_[Ste5]_ppi+_Ste5_[Kss1]	Kss1	Ste5		ppi+	Ste5	Kss1				
10	Cdc4_[Skp1]_ppi+_Skp1_[Cdc4]	Cdc4	Skp1		ppi+	Skp1	Cdc4				
11	Gpa1_[GTP]_i-_GTP_[Gpa1]	Gpa1	GTP		i-	GTP	Gpa1				
12	Rsr1_[GTP]_i+_GTP_[Rsr1]	Rsr1	GTP		i+	GTP	Rsr1				
13	Bcy1_[Tpk3]_ppi+_Tpk3_[Bcy1]	Bcy1	Tpk3		ppi+	Tpk3	Bcy1				
14	Gpa1_[GTP]_i+_GTP_[Gpa1]	Gpa1	GTP		i+	GTP	Gpa1				
15	Cdc42_[GDP]_i+_GDP_[Cdc42]	Cdc42	GDP		i+	GDP	Cdc42				
16	Gpa1_[GDP]_i-_GDP_[Gpa1]	Gpa1	GDP		i-	GDP	Gpa1				
17	[Dia2|Cdc34|Cdc53|Hrt1|Skp1]_Ub+_Tec1_[(rs2)]	[Dia2|Cdc34|Cdc53|Hrt1|Skp1]			Ub+	Tec1		rs2			
18	Mcm1_TRSC_Ste2Gene	Mcm1			TRSC	Ste2Gene					
19	Bcy1_[Tpk2]_ppi+_Tpk2_[Bcy1]	Bcy1	Tpk2		ppi+	Tpk2	Bcy1				
20	Mcm1_TRSC_Mfa1Gene	Mcm1			TRSC	Mfa1Gene					
21	Ste12_[Ste12]_ppi-_Ste12_[Ste12]	Ste12	Ste12		ppi-	Ste12	Ste12				
22	Asg7_[Ste3]_ppi-_Ste3_[Asg7]	Asg7	Ste3		ppi-	Ste3	Asg7				
23	Ste5_[Ste7]_ppi+_Ste7_[Ste5]	Ste5	Ste7		ppi+	Ste7	Ste5				
24	Fus3_P+_Tec1_[(T273)]	Fus3			P+	Tec1		T273			
25	Cyc8_[Sfl1]_ppi-_Sfl1_[Cyc8]	Cyc8	Sfl1		ppi-	Sfl1	Cyc8				
26	Cla4_P+_Cdc24_[(rs1)]	Cla4			P+	Cdc24		rs1			
27	Rad6_Ub+_Sst2_[(rs1)]	Rad6			Ub+	Sst2		rs1			
28	Cdc42_[GDP]_i-_GDP_[Cdc42]	Cdc42	GDP		i-	GDP	Cdc42				
29	Cdc42_[GTP]_i+_GTP_[Cdc42]	Cdc42	GTP		i+	GTP	Cdc42				
30	[Bem1|Cdc42|GTP|Cdc24|Far1|Ste18|Ste4|Ste20]_P+_Ste11_[(S281)]	[Bem1|Cdc42|GTP|Cdc24|Far1|Ste18|Ste4|Ste20]			P+	Ste11		S281			
31	Fus3_P+_Ste4_[(S335)]	Fus3			P+	Ste4		S335			
32	Mfa12_[Ste3]_ppi+_Ste3_[Mfa12]	Mfa12	Ste3		ppi+	Ste3	Mfa12				
33	Mpt5_[Sst2]_ppi-_Sst2_[Mpt5]	Mpt5	Sst2		ppi-	Sst2	Mpt5				
34	Cdc28_[Cln2]_ppi-_Cln2_[Cdc28]	Cdc28	Cln2		ppi-	Cln2	Cdc28				
35	UnknownModifier_pre+_Rsr1_[rs1]	UnknownModifier			pre+	Rsr1	rs1				
36	Dig2_[Ste12]_ppi+_Ste12_[Dig2]	Dig2	Ste12		ppi+	Ste12	Dig2				
37	[Ste12|Ste12|Tec1]_TRSC_Flo11Gene	[Ste12|Ste12|Tec1]			TRSC	Flo11Gene					
38	Ste5_[Ste5]_ppi+_Ste5_[Ste5]	Ste5	Ste5		ppi+	Ste5	Ste5				
39	Gpa1_[Ste4]_ppi+_Ste4_[Gpa1]	Gpa1	Ste4		ppi+	Ste4	Gpa1				
40	Cdc28_[Cln1]_ppi-_Cln1_[Cdc28]	Cdc28	Cln1		ppi-	Cln1	Cdc28				
41	Fus3_P+_Ste4_[(T322)]	Fus3			P+	Ste4		T322			
42	Flo8_TRSC_Flo11Gene	Flo8			TRSC	Flo11Gene					
43	Dia2_[Skp1]_ppi+_Skp1_[Dia2]	Dia2	Skp1		ppi+	Skp1	Dia2				
44	Mcm1_TRSC_Bar1Gene	Mcm1			TRSC	Bar1Gene					
45	GDP_[Rsr1]_i+_Rsr1_[GDP]	GDP	Rsr1		i+	Rsr1	GDP				
46	Bem1_[Cdc42]_ppi-_Cdc42_[Bem1]	Bem1	Cdc42		ppi-	Cdc42	Bem1				
47	Ptp3_P-_Fus3_[(T180)]	Ptp3			P-	Fus3		T180			
48	[Kss1|Ste5|Ste5|Ste11|Ste11|Ste50|Ste7]_P+_Ste7_[(S359)]	[Kss1|Ste5|Ste5|Ste11|Ste11|Ste50|Ste7]			P+	Ste7		S359			
49	Bcy1_[Tpk1]_ppi-_Tpk1_[Bcy1]	Bcy1	Tpk1		ppi-	Tpk1	Bcy1				
50	Bcy1_[Tpk1]_ppi+_Tpk1_[Bcy1]	Bcy1	Tpk1		ppi+	Tpk1	Bcy1				
51	UnknownComponent_TRSL_Tec1	UnknownComponent			TRSL	Tec1					
52	Dig1_[Ste12]_ppi-_Ste12_[Dig1]	Dig1	Ste12		ppi-	Ste12	Dig1				
53	[Bem1|Cdc42|GTP|Cdc24|Far1|Ste18|Ste4|Ste20]_P+_Ste20_[(rs1)]	[Bem1|Cdc42|GTP|Cdc24|Far1|Ste18|Ste4|Ste20]			P+	Ste20		rs1			
54	Ste11_[Ste50]_ppi+_Ste50_[Ste11]	Ste11	Ste50		ppi+	Ste50	Ste11				
55	Rsr1_[GDP]_i-_GDP_[Rsr1]	Rsr1	GDP		i-	GDP	Rsr1				
56	Bem1_[Cdc42]_ppi+_Cdc42_[Bem1]	Bem1	Cdc42		ppi+	Cdc42	Bem1				
