!!SBtab TableType="rxnconReactionList" TableName="ReactionList",,,,,,,,,,,
!ID,!UID:Reaction,!ComponentA:Name,!ComponentA:Domain,!ComponentA:Residue,!Reaction,!ComponentB:Name,!ComponentB:Domain,!ComponentB:Residue,!Quality,!Literature:Identifiers:pubmed,!Comment
1,Gpa1_[Ste4]_ppi-_Ste4_[Gpa1],Gpa1,Ste4,,ppi-,Ste4,Gpa1,,,,
2,Dig1_[Ste12]_ppi-_Ste12_[Dig1],Dig1,Ste12,,ppi-,Ste12,Dig1,,,,
3,Ste12_[Ste12]_ppi-_Ste12_[Ste12],Ste12,Ste12,,ppi-,Ste12,Ste12,,,,
4,Dig2_[Ste12]_ppi-_Ste12_[Dig2],Dig2,Ste12,,ppi-,Ste12,Dig2,,,,
5,Cdc28_[Far1]_ppi-_Far1_[Cdc28],Cdc28,Far1,,ppi-,Far1,Cdc28,,,,
6,Ste5_[Ste7]_ppi-_Ste7_[Ste5],Ste5,Ste7,,ppi-,Ste7,Ste5,,,,
7,Fus3_[Ste5]_ppi-_Ste5_[Fus3],Fus3,Ste5,,ppi-,Ste5,Fus3,,,,
8,Ste11_[Ste5]_ppi-_Ste5_[Ste11],Ste11,Ste5,,ppi-,Ste5,Ste11,,,,
9,Ste5_[Ste5]_ppi-_Ste5_[Ste5],Ste5,Ste5,,ppi-,Ste5,Ste5,,,,
10,Kss1_[Ste5]_ppi-_Ste5_[Kss1],Kss1,Ste5,,ppi-,Ste5,Kss1,,,,
11,Cdc24_[Rsr1]_ppi-_Rsr1_[Cdc24],Cdc24,Rsr1,,ppi-,Rsr1,Cdc24,,,,
12,Ste12_[Tec1]_ppi-_Tec1_[Ste12],Ste12,Tec1,,ppi-,Tec1,Ste12,,,,
13,Ste12_[Tec1]_ppi+_Tec1_[Ste12],Ste12,Tec1,,ppi+,Tec1,Ste12,,,,
14,Cyc8_[Sfl1]_ppi-_Sfl1_[Cyc8],Cyc8,Sfl1,,ppi-,Sfl1,Cyc8,,,,
15,Sfl1_[Sfl1]_ppi-_Sfl1_[Sfl1],Sfl1,Sfl1,,ppi-,Sfl1,Sfl1,,,,
16,Mfa12_[Ste3]_ppi-_Ste3_[Mfa12],Mfa12,Ste3,,ppi-,Ste3,Mfa12,,,,
17,Asg7_[Ste3]_ppi-_Ste3_[Asg7],Asg7,Ste3,,ppi-,Ste3,Asg7,,,,
18,Ste2_[Ste2]_ppi-_Ste2_[Ste2],Ste2,Ste2,,ppi-,Ste2,Ste2,,,,
19,Sst2_[Ste2]_ppi-_Ste2_[Sst2],Sst2,Ste2,,ppi-,Ste2,Sst2,,,,
20,MfAlpha12_[Ste2]_ppi-_Ste2_[MfAlpha12],MfAlpha12,Ste2,,ppi-,Ste2,MfAlpha12,,,,
21,Bcy1_[Tpk2]_ppi-_Tpk2_[Bcy1],Bcy1,Tpk2,,ppi-,Tpk2,Bcy1,,,,
22,Bcy1_[Tpk3]_ppi-_Tpk3_[Bcy1],Bcy1,Tpk3,,ppi-,Tpk3,Bcy1,,,,
23,Bcy1_[Tpk1]_ppi-_Tpk1_[Bcy1],Bcy1,Tpk1,,ppi-,Tpk1,Bcy1,,,,
24,Ste2_[Ste2]_ppi+_Ste2_[Ste2],Ste2,Ste2,,ppi+,Ste2,Ste2,,,,
25,MfAlpha12_[Ste2]_ppi+_Ste2_[MfAlpha12],MfAlpha12,Ste2,,ppi+,Ste2,MfAlpha12,,,,
26,Mfa12_[Ste3]_ppi+_Ste3_[Mfa12],Mfa12,Ste3,,ppi+,Ste3,Mfa12,,,,
27,Gpa1_[Ste4]_ppi+_Ste4_[Gpa1],Gpa1,Ste4,,ppi+,Ste4,Gpa1,,,,
28,Ste5_[Ste7]_ppi+_Ste7_[Ste5],Ste5,Ste7,,ppi+,Ste7,Ste5,,,,
29,Fus3_[Ste5]_ppi+_Ste5_[Fus3],Fus3,Ste5,,ppi+,Ste5,Fus3,,,,
30,Ste11_[Ste5]_ppi+_Ste5_[Ste11],Ste11,Ste5,,ppi+,Ste5,Ste11,,,,
31,Dig1_[Ste12]_ppi+_Ste12_[Dig1],Dig1,Ste12,,ppi+,Ste12,Dig1,,,,
32,Ste12_[Ste12]_ppi+_Ste12_[Ste12],Ste12,Ste12,,ppi+,Ste12,Ste12,,,,
33,Dig2_[Ste12]_ppi+_Ste12_[Dig2],Dig2,Ste12,,ppi+,Ste12,Dig2,,,,
34,Mpt5_[Sst2]_ppi+_Sst2_[Mpt5],Mpt5,Sst2,,ppi+,Sst2,Mpt5,,,,
35,Cdc28_[Far1]_ppi+_Far1_[Cdc28],Cdc28,Far1,,ppi+,Far1,Cdc28,,,,
36,Cdc24_[Far1]_ppi+_Far1_[Cdc24],Cdc24,Far1,,ppi+,Far1,Cdc24,,,,
37,Cdc4_[Skp1]_ppi+_Skp1_[Cdc4],Cdc4,Skp1,,ppi+,Skp1,Cdc4,,,,
38,Bem1_[Cdc42]_ppi+_Cdc42_[Bem1],Bem1,Cdc42,,ppi+,Cdc42,Bem1,,,,
39,Far1_[Ste4]_ppi+_Ste4_[Far1],Far1,Ste4,,ppi+,Ste4,Far1,,,,
40,Bem1_[Cdc24]_ppi+_Cdc24_[Bem1],Bem1,Cdc24,,ppi+,Cdc24,Bem1,,,,
41,Cdc42_[Ste20]_ppi+_Ste20_[Cdc42],Cdc42,Ste20,,ppi+,Ste20,Cdc42,,,,
